"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"677264",2012-09-13,13,15,18.3,44,10.26,360,0,576810,4
"672290",2012-07-23,14,0,22.8,45,10.25,360,0,485460,3
"690947",2013-02-03,2,0,5.1,67,10.24,360,0,0,1
"677261",2012-09-13,12,30,19.2,40,10.24,360,0,568620,4
"883878",2017-04-18,14,30,10.9,57,10.23,360,0,105300,2
"814224",2016-08-11,4,0,19.3,56,10.23,347,0,0,3
"677276",2012-09-13,16,15,17.9,45,10.23,360,0,158850,4
"656621",2012-02-10,6,45,0,53,10.22,360,0,0,1
"656066",2012-02-04,12,0,-1.9,51,10.21,360,0,270540,1
"717939",2013-11-11,6,0,10.3,58,10.2,348,0,0,4
"763932",2015-03-05,8,15,8.3,37,10.19,360,0,41490,2
"677275",2012-09-13,16,0,17.8,47,10.19,360,0,334080,4
"677269",2012-09-13,14,30,18.7,42,10.18,360,0,596160,4
"655923",2012-02-03,0,15,-0.9,63,10.18,360,0,0,1
"796052",2016-02-03,21,0,9.2,68,10.16,360,0.8,0,1
"655761",2012-02-01,7,45,0.6,66,10.14,360,0,0,1
"690952",2013-02-03,3,15,5.6,65,10.13,360,0,0,1
"677262",2012-09-13,12,45,18.7,42,10.13,360,0,608490,4
"656649",2012-02-10,13,45,-0.7,53,10.13,360,0,130050,1
"655925",2012-02-03,0,45,-0.8,63,10.13,360,0,0,1
"655763",2012-02-01,8,15,0.7,63,10.13,360,0,8460,1
"655924",2012-02-03,0,30,-0.9,63,10.1,360,0,0,1
"656063",2012-02-04,11,15,-1.9,51,10.07,360,0,175860,1
"717937",2013-11-11,5,30,10.1,61,10.06,360,0.2,0,4
"763928",2015-03-05,7,15,7.9,40,10.05,42,0,7020,2
"656743",2012-02-11,13,15,-0.2,47,10.05,360,0,366570,1
"883876",2017-04-18,14,0,12.7,52,10.04,360,0,245700,2
"706075",2013-07-10,16,0,23.4,71,10.04,178,0.8,94680,3
"690951",2013-02-03,3,0,5.5,65,10.02,360,0,0,1
"690955",2013-02-03,4,0,5.9,63,10.01,360,0,0,1
"763912",2015-03-05,3,15,6,68,9.99,360,0,0,2
"656065",2012-02-04,11,45,-1.9,51,9.99,360,0,242280,1
"652053",2011-12-24,16,45,7.5,61,9.99,360,0,0,1
"656650",2012-02-10,14,0,-0.7,53,9.98,360,0,133650,1
"656073",2012-02-04,13,45,-1.1,48,9.98,360,0,369810,1
"690941",2013-02-03,0,30,5.5,66,9.95,360,0,0,1
"814226",2016-08-11,4,30,18.7,58,9.93,360,0,0,3
"833220",2017-02-25,1,0,9.6,75,9.92,360,0.8,1170,1
"690949",2013-02-03,2,30,5.2,67,9.89,360,0,0,1
"656600",2012-02-10,1,30,2.7,46,9.89,46,0,0,1
"824762",2016-11-28,22,30,8.8,39,9.87,360,0,0,4
"656635",2012-02-10,10,15,-0.7,52,9.84,1,0,85320,1
"800668",2016-03-22,23,0,13.6,50,9.83,47,0,0,2
"656646",2012-02-10,13,0,-0.9,55,9.81,360,0,156960,1
"656614",2012-02-10,5,0,0,50,9.81,360,0,0,1
"763936",2015-03-05,9,15,8.4,36,9.8,46,0,124920,2
"409384",2005-01-19,9,15,6.3,66,9.77,24,0,36900,1
"655766",2012-02-01,9,0,1.1,59,9.76,360,0,33930,1
"655748",2012-02-01,4,30,0.2,79,9.76,360,0,0,1
"829429",2017-01-16,13,15,3.5,53,9.75,360,0,152370,1
"773196",2015-06-10,15,30,22.3,61,9.74,360,7.2,94320,3
"682903",2012-11-11,7,0,17.5,74,9.74,124,0,0,4
"717940",2013-11-11,6,15,10.3,58,9.73,360,0,0,4
"789400",2015-11-26,14,0,9.5,47,9.72,360,0,368370,4
"881601",2017-04-04,15,31,19.7,32,9.71,348,0,3210,2
"840972",2017-03-07,10,22,14.1,37,9.67,327,0,23190,2
"677273",2012-09-13,15,30,18.6,42,9.66,360,0,508140,4
"656741",2012-02-11,12,45,-0.6,49,9.66,360,0,273150,1
"656611",2012-02-10,4,15,0.8,48,9.66,360,0,0,1
"409945",2005-01-25,5,30,2.9,55,9.66,33,2,0,1
"845461",2017-03-10,13,11,20.1,12,9.64,340,0,43608,2
"656726",2012-02-11,9,0,-2.3,61,9.64,360,0,39060,1
"652054",2011-12-24,17,0,6.8,64,9.64,360,0,0,1
"883875",2017-04-18,13,45,13.8,51,9.63,360,0,670500,2
"718038",2013-11-12,6,45,13,59,9.63,360,0,0,4
"829528",2017-01-17,14,0,3.1,55,9.62,360,0,58230,1
"656730",2012-02-11,10,0,-2.2,61,9.62,354,0,70650,1
"409385",2005-01-19,9,30,6.2,67,9.62,15,0,38700,1
"409383",2005-01-19,9,0,6.2,68,9.62,22,0,35100,1
"824761",2016-11-28,22,15,9,38,9.61,360,0,0,4
"656745",2012-02-11,13,45,-0.2,46,9.61,360,0,319410,1
"763939",2015-03-05,10,0,8.5,38,9.6,55,0,149220,2
"655929",2012-02-03,1,45,-1.1,62,9.58,360,0,0,1
"655926",2012-02-03,1,0,-0.9,63,9.58,360,0,0,1
"883877",2017-04-18,14,15,11.8,53,9.55,360,0,145260,2
"656622",2012-02-10,7,0,-0.1,55,9.55,360,0,0,1
"800661",2016-03-22,21,15,14.2,48,9.54,20,0,0,2
"417197",2005-04-10,19,30,9.8,70,9.54,30,7.4,0,2
"833226",2017-02-25,2,30,8.1,64,9.53,42,0,90,1
"829430",2017-01-16,13,30,3.5,54,9.53,360,0,153360,1
"656732",2012-02-11,10,30,-1.8,57,9.53,360,0,90450,1
"409382",2005-01-19,8,45,6,69,9.53,21,0,39600,1
"690946",2013-02-03,1,45,5.1,67,9.51,360,0,0,1
"656725",2012-02-11,8,45,-2.1,57,9.51,360,0,31860,1
"409381",2005-01-19,8,30,6,70,9.51,24,0,23400,1
"656728",2012-02-11,9,30,-2.4,65,9.5,360,0,56520,1
"409944",2005-01-25,5,15,3,56,9.5,36,0.8,0,1
"344969",2017-04-18,14,45,9.7,74,9.5,23,0.2,69300,2
"840066",2017-03-06,19,16,10.1,82,9.48,122,0.2,24,2
"656750",2012-02-11,15,0,-0.2,47,9.48,360,0,303840,1
"655753",2012-02-01,5,45,0.5,70,9.48,360,0,0,1
"653269",2012-01-06,8,45,10,30,9.48,360,0,36270,1
"656719",2012-02-11,7,15,-1.9,54,9.45,360,0,0,1
"656612",2012-02-10,4,30,0.4,49,9.45,30,0,0,1
"409946",2005-01-25,5,45,2.7,57,9.45,38,1.2,0,1
"370120",2003-12-07,8,30,8.8,55,9.45,75,1.2,9000,1
"656738",2012-02-11,12,0,-1.2,52,9.44,360,0,172620,1
"413230",2005-02-28,10,45,1.7,46,9.44,65,0,519300,1
"409386",2005-01-19,9,45,6,68,9.44,20,0,44100,1
"829427",2017-01-16,12,45,3.5,52,9.43,360,0,197460,1
"829457",2017-01-16,20,15,2.7,55,9.42,360,0,0,1
"656605",2012-02-10,2,45,2.2,48,9.42,32,0,0,1
"417196",2005-04-10,19,15,9.6,72,9.42,29,6,0,2
"656753",2012-02-11,15,45,-0.2,47,9.41,360,0,241650,1
"409948",2005-01-25,6,15,2.9,54,9.41,38,0.6,0,1
"811636",2016-07-15,5,0,19,49,9.4,360,0,1890,3
"717935",2013-11-11,5,0,10.5,60,9.4,360,0,0,4
"417193",2005-04-10,18,30,9.4,73,9.4,30,8.5,6300,2
"409943",2005-01-25,5,0,3.2,55,9.4,35,0.2,0,1
"409938",2005-01-25,3,45,3.2,55,9.4,37,0,0,1
"845371",2017-03-10,11,41,20.2,15,9.38,360,0,42570,2
"417194",2005-04-10,18,45,9.4,73,9.38,28,7.2,900,2
"413231",2005-02-28,11,0,1.7,45,9.38,41,0,447300,1
"829458",2017-01-16,20,30,2.6,56,9.36,360,0.2,0,1
"409942",2005-01-25,4,45,3,57,9.36,36,0,0,1
"403031",2004-11-14,5,0,10.1,49,9.36,39,10.4,0,4
"829531",2017-01-17,14,45,3.2,57,9.35,360,0,103410,1
"656076",2012-02-04,14,30,-1.1,48,9.35,360,0,262260,1
